Index,SKU Code,Design No.,Stock,Gender,Category,Size,Color
7760,SET179-KR-PP-XXXL,SET179,3,Female,KURTA SET,XXXL,White
7761,SET182-KR-DH-L,SET182,18,Female,KURTA SET,L,Black
7762,SET182-KR-DH-M,SET182,4,Female,KURTA SET,M,Black
7763,SET182-KR-DH-S,SET182,6,Female,KURTA SET,S,Black
7764,SET182-KR-DH-XL,SET182,44,Female,KURTA SET,XL,Black
7765,SET182-KR-DH-XS,SET182,109,Female,KURTA SET,XS,Black
7766,SET182-KR-DH-XXL,SET182,2,Female,KURTA SET,XXL,Black
7767,SET182-KR-DH-XXXL,SET182,4,Female,KURTA SET,XXXL,Black
7768,SET183-KR-DH-L,SET183,123,Female,KURTA SET,L,Olive Green
7769,SET183-KR-DH-M,SET183,73,Female,KURTA SET,M,Olive Green
7770,SET183-KR-DH-S,SET183,293,Female,KURTA SET,S,Olive Green
7771,SET183-KR-DH-XL,SET183,116,Female,KURTA SET,XL,Olive Green
7772,SET183-KR-DH-XS,SET183,45,Female,KURTA SET,XS,Olive Green
7773,SET183-KR-DH-XXL,SET183,52,Female,KURTA SET,XXL,Olive Green
7774,SET183-KR-DH-XXXL,SET183,26,Female,KURTA SET,XXXL,Olive Green
7775,SET184-KR-PP-L,SET184,11,Female,KURTA SET,L,Teal
7776,SET184-KR-PP-M,SET184,6,Female,KURTA SET,M,Teal
7777,SET184-KR-PP-S,SET184,10,Female,KURTA SET,S,Teal
7778,SET184-KR-PP-XL,SET184,11,Female,KURTA SET,XL,Teal
7779,SET184-KR-PP-XS,SET184,10,Female,KURTA SET,XS,Teal
